business_id,day,hour,checkins
dwQEZBFen2GdihLLfWeexA,UNKNOWN,UNKNOWN,0
QpRfQtlbwlmqUsq4DKjqqw,UNKNOWN,UNKNOWN,0
Q9jOi1245KEyb-vehMUeFA,UNKNOWN,UNKNOWN,0
WdE3GQf5RDnl5Pmji5S5Iw,UNKNOWN,UNKNOWN,0
FxVZE_tK48By-34URIacLg,UNKNOWN,UNKNOWN,0
wo41OdU_iUwFofsBnVf6uw,UNKNOWN,UNKNOWN,0
F_ylMGAY1khjuuvMd5pgsQ,UNKNOWN,UNKNOWN,0
O54jXbKjZte4qVYabYjGjg,UNKNOWN,UNKNOWN,0
2S-NV3clYHDbDEmqT8fuGg,UNKNOWN,UNKNOWN,0
nvJjfEPYFXj8sJZcbt0k-Q,UNKNOWN,UNKNOWN,0
FhorgXn87xro7G9m-fXIwA,UNKNOWN,UNKNOWN,0
OhMtEGOGXUqz05avA4b-1Q,UNKNOWN,UNKNOWN,0
E8Ck06nR4NdThguOCDXpcw,UNKNOWN,UNKNOWN,0
dsq1nprmAXzwaOAFVfBE-w,UNKNOWN,UNKNOWN,0
rgQHBUjpq-1q5zKrMjzwgw,UNKNOWN,UNKNOWN,0
BV_ywDG0HJYWyFFXG8ssvQ,UNKNOWN,UNKNOWN,0
63lBTe-rgqR_LcAOh_xuPQ,UNKNOWN,UNKNOWN,0
fihcqcjpMWTSGiR_dWLOcw,UNKNOWN,UNKNOWN,0
GCr0eTVnVzFE72c-VJezoQ,UNKNOWN,UNKNOWN,0
nIJr76IGIGS3nkmieY3Vow,UNKNOWN,UNKNOWN,0
DSlSSiVcLPz31qZemVEd-A,UNKNOWN,UNKNOWN,0
w1Dt_Dsbm40IgdVERLv5sQ,UNKNOWN,UNKNOWN,0
TPJO55zWyo2CeeXQvOre8A,UNKNOWN,UNKNOWN,0
jhazCCMoDaLn-RqvvtKXbQ,UNKNOWN,UNKNOWN,0
_U7btRgwidF6mYsexgVClQ,UNKNOWN,UNKNOWN,0
1veVZUawy7IhIc5oDpRRQA,UNKNOWN,UNKNOWN,0
CZ1NjI_Kyg_V3ol3se2fQg,UNKNOWN,UNKNOWN,0
zH3HFpkJZ9EmWMRhw1oypA,UNKNOWN,UNKNOWN,0
GzHhdq5fZbFLhbWRYMCDcw,UNKNOWN,UNKNOWN,0
U4XMUPX3qbkBm2wCmH-gcw,UNKNOWN,UNKNOWN,0
WttyGpOkiv0DDI0Pp2erVA,UNKNOWN,UNKNOWN,0
MtjwVcFHvtogmJZ7De8M9Q,UNKNOWN,UNKNOWN,0
EGDg1FDT0Pnszd04mQkHxQ,UNKNOWN,UNKNOWN,0
sYMAijY2oRrd71KRHKoIDA,UNKNOWN,UNKNOWN,0
9UH89MK29yaYa5BV95kcHg,UNKNOWN,UNKNOWN,0
iNgigsK7XdffRmaNHtcKbQ,UNKNOWN,UNKNOWN,0
RkBuh5p9nHuvMctdCKDyaQ,UNKNOWN,UNKNOWN,0
Mj5dXTDd6AndK8b4UVTNbw,UNKNOWN,UNKNOWN,0
aGkem3kNFpUgE-Nb-TRsdA,UNKNOWN,UNKNOWN,0
exTYZt26GbJqaJqiTgCy8w,UNKNOWN,UNKNOWN,0
